trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
81,False,"{'a': 0.1, 'e': 0.9967212932211577}",20,0,-105.6624384260598,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
82,False,"{'a': 0.1, 'e': 0.9966398834184859}",20,0,-147.3910210411915,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
83,False,"{'a': 0.1, 'e': 0.9965574769760137}",20,0,-102.56441187001838,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
84,False,"{'a': 0.1, 'e': 0.9964740739761475}",30,3,-86.22118350856043,"{0: 17, 1: 4, 2: 5, 3: 0, 4: 1}",1
85,False,"{'a': 0.1, 'e': 0.9963896745022904}",20,0,-103.46225929365968,"{0: 12, 1: 3, 2: 2, 3: 2, 4: 1}",0
86,False,"{'a': 0.1, 'e': 0.996304278638842}",20,0,-124.3786890660829,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
87,False,"{'a': 0.1, 'e': 0.9962178864711978}",35,0,-127.45930062256497,"{0: 23, 1: 3, 2: 6, 3: 2, 4: 1}",0
88,False,"{'a': 0.1, 'e': 0.9961304980857502}",20,0,-168.65187102089558,"{0: 10, 1: 3, 2: 3, 3: 1, 4: 3}",0
89,False,"{'a': 0.1, 'e': 0.9960421135698875}",20,0,-167.72129464225958,"{0: 9, 1: 0, 2: 8, 3: 1, 4: 2}",0
90,False,"{'a': 0.1, 'e': 0.9959527330119943}",30,0,-111.29724608264576,"{0: 19, 1: 3, 2: 6, 3: 1, 4: 1}",0
91,False,"{'a': 0.1, 'e': 0.9958623565014509}",20,0,-100.39373695370597,"{0: 11, 1: 4, 2: 2, 3: 2, 4: 1}",0
92,False,"{'a': 0.1, 'e': 0.9957709841286342}",30,0,-95.57689077154892,"{0: 20, 1: 4, 2: 4, 3: 1, 4: 1}",0
93,False,"{'a': 0.1, 'e': 0.9956786159849162}",25,0,-122.22433967704515,"{0: 15, 1: 0, 2: 8, 3: 1, 4: 1}",0
94,False,"{'a': 0.1, 'e': 0.9955852521626654}",30,0,-88.58366314141072,"{0: 22, 1: 2, 2: 4, 3: 1, 4: 1}",0
95,False,"{'a': 0.1, 'e': 0.9954908927552453}",25,0,-229.3997761156967,"{0: 12, 1: 2, 2: 5, 3: 3, 4: 3}",0
96,False,"{'a': 0.1, 'e': 0.9953955378570153}",20,0,-208.2706613619065,"{0: 9, 1: 2, 2: 4, 3: 2, 4: 3}",0
97,False,"{'a': 0.1, 'e': 0.9952991875633305}",30,0,-173.5566555463002,"{0: 17, 1: 2, 2: 5, 3: 5, 4: 1}",0
98,False,"{'a': 0.1, 'e': 0.995201841970541}",25,0,-221.0951121738777,"{0: 13, 1: 2, 2: 5, 3: 1, 4: 4}",0
99,False,"{'a': 0.1, 'e': 0.9951035011759926}",25,0,-128.1088383335861,"{0: 14, 1: 2, 2: 7, 3: 1, 4: 1}",0
100,False,"{'a': 0.1, 'e': 0.9950041652780257}",20,0,-182.40506113868608,"{0: 6, 1: 2, 2: 10, 3: 0, 4: 2}",0
101,False,"{'a': 0.1, 'e': 0.9949038343759766}",20,0,-104.09373017977249,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
102,False,"{'a': 0.1, 'e': 0.994802508570176}",25,0,-113.56732362999159,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
103,False,"{'a': 0.1, 'e': 0.9947001879619498}",20,0,-28.873156153265104,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
104,False,"{'a': 0.1, 'e': 0.9945968726536185}",20,13,-0.6081847567984016,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
105,False,"{'a': 0.1, 'e': 0.9944925627484974}",20,0,-140.28979718785527,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 2}",0
106,False,"{'a': 0.1, 'e': 0.9943872583508965}",30,0,-88.2253046838877,"{0: 18, 1: 4, 2: 7, 3: 1, 4: 0}",0
107,False,"{'a': 0.1, 'e': 0.9942809595661201}",25,0,-91.13883380789638,"{0: 13, 1: 3, 2: 9, 3: 0, 4: 0}",0
108,False,"{'a': 0.1, 'e': 0.9941736665004669}",20,0,-20.92834089843525,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
109,False,"{'a': 0.1, 'e': 0.9940653792612301}",25,0,-66.46236090609027,"{0: 15, 1: 2, 2: 8, 3: 0, 4: 0}",0
110,False,"{'a': 0.1, 'e': 0.9939560979566968}",20,0,-239.56372870930878,"{0: 8, 1: 1, 2: 6, 3: 1, 4: 4}",0
111,False,"{'a': 0.1, 'e': 0.9938458226961485}",25,0,-114.83435477706803,"{0: 14, 1: 4, 2: 5, 3: 1, 4: 1}",0
112,False,"{'a': 0.1, 'e': 0.9937345535898603}",25,0,-40.583072348910996,"{0: 17, 1: 4, 2: 4, 3: 0, 4: 0}",0
113,False,"{'a': 0.1, 'e': 0.9936222907491012}",20,0,-87.26611831430706,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
114,False,"{'a': 0.1, 'e': 0.9935090342861344}",20,0,-104.39309314613443,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",0
115,False,"{'a': 0.1, 'e': 0.9933947843142158}",20,0,-97.82750121219577,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
116,False,"{'a': 0.1, 'e': 0.9932795409475959}",30,0,-210.0653124618136,"{0: 14, 1: 4, 2: 7, 3: 3, 4: 2}",0
117,False,"{'a': 0.1, 'e': 0.9931633043015177}",20,4,-57.74591529792373,"{0: 10, 1: 3, 2: 2, 3: 0, 4: 1}",1
118,False,"{'a': 0.1, 'e': 0.993046074492218}",30,0,-244.00741958310132,"{0: 16, 1: 5, 2: 4, 3: 0, 4: 5}",0
119,False,"{'a': 0.1, 'e': 0.9929278516369265}",25,0,-101.8450988615302,"{0: 12, 1: 7, 2: 4, 3: 2, 4: 0}",0
120,False,"{'a': 0.1, 'e': 0.9928086358538663}",20,0,-97.36946480729591,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
121,False,"{'a': 0.1, 'e': 0.9926884272622528}",20,0,-61.557612273834735,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
122,False,"{'a': 0.1, 'e': 0.9925672259822949}",30,0,-133.9807911571859,"{0: 20, 1: 1, 2: 7, 3: 0, 4: 2}",0
123,False,"{'a': 0.1, 'e': 0.9924450321351935}",20,0,-31.325225927012347,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
124,False,"{'a': 0.1, 'e': 0.9923218458431429}",30,0,-127.02203521094562,"{0: 16, 1: 2, 2: 10, 3: 2, 4: 0}",0
125,False,"{'a': 0.1, 'e': 0.992197667229329}",20,0,-105.04180626151334,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
126,False,"{'a': 0.1, 'e': 0.9920724964179307}",25,6,-47.98330876225723,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 0}",1
127,False,"{'a': 0.1, 'e': 0.9919463335341185}",35,0,-220.36039945744912,"{0: 20, 1: 3, 2: 7, 3: 2, 4: 3}",0
